"id","name","status","conditioning_bucket","energy_system","work_rest_profile","cns_load","default_duration_sec","intensity","age_min","age_max","equipment","space","step_by_step","coaching_cues","video_url","session_type","inspired_by","coach_preference"
"CD_001","Shuttle Run Intervals","active","aerobic_power","aerobic","continuous","low","60","med","10","99","Cones","20 yd lane","Run down and back continuously for duration","Smooth pace, no sprinting","","conditioning","self","1"
"CD_002","Hill Sprint Intervals","active","repeat_sprint","anaerobic_alactic","interval_long_rest","high","30","high","12","99","Hill","20–30 yd hill","Sprint uphill hard, walk back down for recovery","Drive knees, forward lean","","conditioning","self","1"
"CD_003","Hill Sprint + Broad Jump Combo","active","mixed_direction","anaerobic_alactic","interval_long_rest","high","45","high","14","99","Hill","20–30 yd hill","Sprint uphill, walk down, perform broad jumps up hill, walk down, repeat","Land soft, quality jumps only","","conditioning","self","1"
"CD_006","Bike Mountain Climb VO2 Ladder","active","aerobic_power","anaerobic_lactic","interval_short_rest","high","600","high","14","99","Stationary bike","Bike","Each minute perform sprint at high resistance for 20,40,60,80,100,120,100,80,60,40,20 pedal pushes, recover remaining time","Stay seated, smooth powerful strokes","","conditioning","self","1"
"CD_007","Bike Pyramid Power Intervals","active","aerobic_power","anaerobic_lactic","interval_short_rest","high","480","med-high","14","99","Stationary bike","Bike","Each minute sprint for 30,45,60,75,90,75,60,45,30 pedal pushes, recover remaining time","Consistent cadence, no bouncing","","conditioning","self","1"
"CD_012","Bike Descending VO2 Sprints","active","repeat_sprint","anaerobic_lactic","interval_short_rest","high","480","high","14","99","Stationary bike","Bike","Each minute sprint for 100,90,80,70,60,50,40,30 pedal pushes, recover remaining time","Stay powerful even as volume drops","","conditioning","self","1"
"CD_017","Curved Treadmill 1 Minute Sprint Interval","active","repeat_sprint","anaerobic_alactic","interval_long_rest","high","30","high","14","99","Curved treadmill","Treadmill","5 hard sprints using prescribed work/rest options","Increase sprint time gradually, cap at 30/30","","conditioning","self","1"
"CD_019","Forward-Lateral Combo Conditioning","active","mixed_direction","aerobic","continuous","moderate","60","med-high","12","99","None","15 yd lane","Run forward then lateral shuffle","Control breathing in recovery","","conditioning","self","1"
"CD_021","Flat Acceleration Sprint Block","active","alactic_speed","anaerobic_alactic","interval_long_rest","high","6","max","12","99","None or sled","20 yd lane","Sprint 10–20 yd at max effort, full stop, walk back and fully recover before next rep","Explode first 3 steps, full rest between reps","","conditioning","self","2"
"CD_022","Lateral Shuffle Sprint Repeats","active","repeat_sprint","anaerobic_lactic","interval_short_rest","high","12","high","13","99","Cones","10–15 yd lane","Shuffle laterally hard for 10–15 yd, touch line, return, rest briefly, repeat","Stay low, push through inside edge, quick change of direction","","conditioning","self","2"
"CD_023","Multi-Direction Shift Simulation","active","shift_sim","anaerobic_lactic","interval_long_rest","high","35","high","14","99","Cones","15x15 yd box","Perform continuous multi-direction sprinting (forward, lateral, hard stops) for 30–40 sec, rest fully before next round","Max intent for duration, controlled breathing in recovery","","conditioning","self","2"
"CD_024","Zone 2 Aerobic Base Run","active","aerobic_base","aerobic","continuous","low","1200","med","10","99","None","Track or field","Run at steady conversational pace for 15–25 minutes","Maintain nasal breathing if possible, steady rhythm","","conditioning","self","1"
