"id","name","status","mobility_bucket","primary_area","mobility_type","nervous_system_effect","tags","default_duration_sec","intensity","age_min","age_max","equipment","space","step_by_step","coaching_cues","difficulty","video_url","session_type","inspired_by","coach_preference"
"SMR_001","Cossack Squat Mobility","active","hip_opening","hips","controlled","neutral","lateral_squat, hip_mobility, adductors","60","low","10","99","None","6 ft lane","Sink into deep lateral squat, shift side to side under control","Sit into hips, keep chest tall","3","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/c198308dba2edb31608a4304f56efd21/manifest/video.m3u8","recovery","self","1"
"SMR_002","90-90 Hip Rotations","active","hip_opening","hips","controlled","neutral","internal_rotation, external_rotation, hips","60","very-low","8","99","None","Floor","Rotate hips side to side keeping torso upright","Move slow, no forcing","2","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/fe01cefb32bed45ceb6d1c9bc634bc30/manifest/video.m3u8","recovery","self","1"
"SMR_003","Adductor Rockbacks","active","groin_adductor","groin","controlled","neutral","adductors, rockback","60","low","8","99","None","Floor","Rock hips back from hands-and-knees position with one leg extended back","Feel stretch in inner thigh","2","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/0076090cb59bed021186f87ffcae8ab6/manifest/video.m3u8","recovery","self","1"
"SMR_004","Lateral Lunge Hold","active","groin_adductor","groin","static","downregulate","lateral_lunge, adductors","45","low","10","99","None","6 ft lane","Hold bottom of lateral lunge position","Breathe and relax into position","3","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/e55e430ab01f6f43a76559553a178ca7/manifest/video.m3u8","recovery","self","1"
"SMR_005","Hip Shifts","active","hip_opening","hips","controlled","neutral","hip_flexor, glutes, shift","60","low","10","99","None","Floor","Shift between hip flexor stretch and glute sit-back","Squeeze glute on stretch side","2","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/9f33acec72fb0b2fb1402bbe63246ce3/manifest/video.m3u8","recovery","self","1"
"SMR_006","World’s Greatest Stretch","active","full_body_reset","full_body","controlled","neutral","lunge, thoracic_rotation, hips","60","low","10","99","None","6 ft lane","Lunge forward, rotate torso toward lead leg","Rotate through upper back","3","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/9e7b8ed18dc59b6e2de26b95799fa983/manifest/video.m3u8","recovery","self","2"
"SMR_008","Wide Stance Weight Shifts","active","groin_adductor","groin","controlled","neutral","lateral_shift, adductors","60","low","8","99","None","6 ft lane","Shift body weight side to side in wide stance","Hips back, feet stay flat","2","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/a2cd25bfe1e46a39075aaf59bccca63a/manifest/video.m3u8","recovery","self","1"
"SMR_009","Quadruped Thoracic Rotation","active","rotation_spine","t_spine","controlled","neutral","thoracic_rotation, spine","45","very-low","8","99","None","Floor","Rotate upper body while keeping hips square","Rotate slow, breathe out","2","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/379eed82856d0bbf9c1723d87eca98f7/manifest/video.m3u8","recovery","self","2"
"SMR_010","Deep Squat Hold with Shifts","active","full_body_reset","full_body","static","downregulate","deep_squat, hip_opening","60","low","8","99","None","4x4 ft","Hold deep squat and gently shift side to side","Knees out, heels down","3","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/f7b41fd1a8d0d748bbcd52a3751c7b4d/manifest/video.m3u8","recovery","self","1"
"SMR_012","Standing Hip CARs","active","hip_opening","hips","controlled","neutral","CARs, hip_control","45","very-low","10","99","None","4x4 ft","Controlled hip circles one leg at a time","Small controlled circles","3","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/25d241030707ecb7642193dde168a0a3/manifest/video.m3u8","recovery","self","2"
"SMR_013","Spinal Flexion to Extension","active","rotation_spine","t_spine","controlled","neutral","spinal_wave, flexion_extension","60","very-low","8","99","None","Floor","Round then extend spine slowly","Breathe with movement","2","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/b0319977b1849bd21fd67dce5c9ef076/manifest/video.m3u8","recovery","self","2"
"SMR_014","Lying Figure-4 Hip Stretch","active","hip_opening","hips","static","downregulate","figure_4, glutes","60","low","8","99","None","Floor","Cross ankle over knee and gently pull in","No forcing stretch","2","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/32003e1869e5a5273bc4d01f1d9a5a63/manifest/video.m3u8","recovery","self","2"
"SMR_018","Seated Box Breathing","active","full_body_reset","full_body","breathing","downregulate","box_breathing, recovery","120","very-low","10","99","None","Floor or bench","Inhale 4s, hold 4s, exhale 4s, hold 4s","Calm controlled rhythm","1","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/b9c206326c83a994e634860b5eb133a5/manifest/video.m3u8","recovery","self","2"
"SMR_019","Hip Flexor Stretch","active","hip_opening","hips","static","downregulate","hip_flexor, breathing","60","very-low","10","99","None","Floor","Hold hip flexor stretch while emphasizing long exhales","Relax into hips","2","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/b860ff9e3f51a4daa815d5a5b7e06088/manifest/video.m3u8","recovery","self","1"
"SMR_020","Deep Squat Breathing Hold","active","hip_opening","hips","breathing","downregulate","deep_squat, breathing","60","very-low","10","99","None","4x4 ft","Hold deep squat and perform slow nasal breathing","Breathe into hips","2","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/a30d86d409895f18503b9b638def2c39/manifest/video.m3u8","recovery","self","1"
"SMR_021","Elevated Quad Hip Flexor Stretch","active","hip_opening","quads","static","downregulate","quad_stretch, hip_flexor","60","low","10","99","Bench or box","Floor","Kneel with back knee down and ankle elevated behind, chest tall, gently sit into stretch","Squeeze glute, ribs down","3","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/241ae18b070590974d127e6156570b75/manifest/video.m3u8","recovery","self","1"
"SMR_022","Half Pigeon Hip Stretch","active","hip_opening","hips","static","downregulate","pigeon, hip_external_rotation","90","low","10","99","None","Floor","From all fours, bring one knee forward into half pigeon and sit tall","Breathe into hips, no forcing","3","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/0654c79594ea45df78e2c975f8b67a71/manifest/video.m3u8","recovery","self","1"
"SMR_023","Full Body Foam Roller Sequence","active","full_body_reset","full_body","foam_rolling","downregulate","foam_roll, recovery","300","very-low","10","99","Foam roller","Floor","Roll calves, quads, adductors, glutes, upper back, lats, hamstrings in sequence","Slow pressure, breathe through tight spots","1","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/af16a63585750b85596f8d5356c42fff/manifest/video.m3u8","recovery","self","1"
