"name","year","source","bench_power_watts_per_kg","wingspan_in","pro_agility_left_sec","pro_agility_right_sec","vertical_jump_in","pull_ups","vertical_jump_force_plate_in","standing_long_jump_in","height_in","bench_press"
"Adam Benak","2025","nhl_combine_2025","7.75","","","","","","","","",""
"Aleksei Medvedev","2025","nhl_combine_2025","","79.5","","","","","","","",""
"Arvid Drott","2025","nhl_combine_2025","","","4.33","4.33","","","","","",""
"Asher Barnett","2025","nhl_combine_2025","","","","","23.01","","","","",""
"Benjamin Kindel","2025","nhl_combine_2025","","","4.27","","","","","","",""
"Bill Zonnon","2025","nhl_combine_2025","","","","","24.36","16","","","",""
"Blake Fiddler","2025","nhl_combine_2025","","79.75","","","","","","","",""
"Braeden Cootes","2025","nhl_combine_2025","7.23","","","","","15","20.08","","",""
"Cameron Reid","2025","nhl_combine_2025","","","","","","14","","","",""
"Cameron Schmidt","2025","nhl_combine_2025","7.82","","","4.21","","","","","",""
"Carlos Handel","2025","nhl_combine_2025","","","","","","","20.87","","",""
"Carter Amico","2025","nhl_combine_2025","","82","","","","","","","",""
"Carter Klippenstein","2025","nhl_combine_2025","7.19","","4.32","4.2","","14","","115.5","",""
"Charlie Trethewey","2025","nhl_combine_2025","","","4.24","4.21","","","","","",""
"Cole McKinney","2025","nhl_combine_2025","7.62","","","","","14","","","",""
"Cole Reschny","2025","nhl_combine_2025","","","","4.28","","","","","",""
"Daniil Prokhorov","2025","nhl_combine_2025","7.52","","","","","","","","",""
"David Bedkovski","2025","nhl_combine_2025","7.41","","","","","","","","",""
"David Lewandowski","2025","nhl_combine_2025","","","","","","14","","","",""
"Eric Nilson","2025","nhl_combine_2025","","","","","","15","","","",""
"Haoxi (Simon) Wang","2025","nhl_combine_2025","","82.25","","","24.01","","21.25","","",""
"Hayden Paupanekis","2025","nhl_combine_2025","","79.5","","","","","","","",""
"Jack Nesbitt","2025","nhl_combine_2025","","80","4.25","","","","","","",""
"Jacob Rombach","2025","nhl_combine_2025","","81","","4.35","","","","","",""
"Jakob Ihs-Wozniak","2025","nhl_combine_2025","","","4.26","","","","","","",""
"James Hagens","2025","nhl_combine_2025","","","","","","","","","70.5",""
"Kieren Dervin","2025","nhl_combine_2025","7.56","","","","25.1","14","21.03","","",""
"Lynden Lakovic","2025","nhl_combine_2025","","","","","","","","117","",""
"Maceo Phillips","2025","nhl_combine_2025","7.64","82","","","23.34","","21.25","114.3","",""
"Malcolm Spence","2025","nhl_combine_2025","","","","","24.51","","","","",""
"Max Psenicka","2025","nhl_combine_2025","","","","","","","","112.5","",""
"Milton Gastrin","2025","nhl_combine_2025","","","4.12","4.24","24.01","","20.56","","",""
"Peyton Kettles","2025","nhl_combine_2025","","","","4.29","","","","","",""
"Porter Martone","2025","nhl_combine_2025","","","","","","","","112","",""
"Roger McQueen","2025","nhl_combine_2025","","","","","","","","112.8","77.25",""
"Ryker Lee","2025","nhl_combine_2025","","","","","25.67","","","","",""
"Sascha Boumedienne","2025","nhl_combine_2025","","","","","","14","20.05","","",""
"Sean Barnhill","2025","nhl_combine_2025","","","4.23","4.23","23.07","","20.48","118","",""
"Shane Vansaghi","2025","nhl_combine_2025","7.59","","","","","15","","","",""
"Vaclav Nestrasil","2025","nhl_combine_2025","","79.25","","","","","","","",""
"William Belle","2025","nhl_combine_2025","","","","","24.45","","21.92","118.3","",""
"William Horcoff","2025","nhl_combine_2025","","","4.23","4.29","","","22.84","124.8","",""
"William Moore","2025","nhl_combine_2025","","79.75","4.19","","","","","116","",""
"AJ Spellacy","2024","nhl_combine_2024","","","","4.24","","","22.64","119.3","",""
"Aatos Koivu","2024","nhl_combine_2024","","","","","","","","113","",""
"Adam Jecho","2024","nhl_combine_2024","","79.5","","","","","","","",""
"Adam Kleber","2024","nhl_combine_2024","","80","","","","","","","",""
"Alexis Bernier","2024","nhl_combine_2024","","","","4.28","","","","114.5","",""
"Artyom Levshunov","2024","nhl_combine_2024","","","","","","","22.64","","",""
"Carson Wetsch","2024","nhl_combine_2024","6.92","","","","","","22.76","","",""
"Cayden Lindstrom","2024","nhl_combine_2024","7.69","","","","","","","","",""
"Charlie Elick","2024","nhl_combine_2024","","","4.33","","","","","","",""
"Cole Beaudoin","2024","nhl_combine_2024","8.71","","","","","13","","","",""
"Colton Roberts","2024","nhl_combine_2024","","","","","","13","","","",""
"Dean Letourneau","2024","nhl_combine_2024","","83.25","","","","","","114.5","",""
"Dominik Badinka","2024","nhl_combine_2024","","","","","","","","113","",""
"EJ Emery","2024","nhl_combine_2024","","80.75","","4.23","","","27.23","123","",""
"Eriks Mateiko","2024","nhl_combine_2024","","80.25","","","","","","","",""
"Ethan Procyszyn","2024","nhl_combine_2024","","","","4.3","","12","","","",""
"Gabriel Eliasson","2024","nhl_combine_2024","","81","","","","","","","",""
"Jack Pridham","2024","nhl_combine_2024","","","4.34","4.29","","13","22.83","114.5","",""
"Javon Moore","2024","nhl_combine_2024","","","","","","","","113","",""
"Jesse Pulkkinen","2024","nhl_combine_2024","","80.75","","","","","","","",""
"Jett Luchanko","2024","nhl_combine_2024","","","","4.23","","","24.63","","",""
"John Mustard","2024","nhl_combine_2024","7.78","","4.26","","","","","","",""
"Kamil Bednarik","2024","nhl_combine_2024","","","4.25","","","12","","","",""
"Kevin He","2024","nhl_combine_2024","","","","","","12","","","",""
"Konsta Helenius","2024","nhl_combine_2024","","","4.34","","","","","","",""
"Linus Eriksson","2024","nhl_combine_2024","","","","","","","","113.8","",""
"Lucas Pettersson","2024","nhl_combine_2024","","","4.34","","","","","","",""
"Lukas Fischer","2024","nhl_combine_2024","8.26","","","","","15","","","",""
"Michael Brandsegg-Nygard","2024","nhl_combine_2024","","","","4.29","","","","","",""
"Michael Hage","2024","nhl_combine_2024","","","4.29","","","","","","",""
"Mikhail Yegorov","2024","nhl_combine_2024","","","","","","","23.27","115.8","",""
"Nathan Villeneuve","2024","nhl_combine_2024","6.88","","","","","","","","",""
"Ollie Josephson","2024","nhl_combine_2024","","","","","","13","","","",""
"Raoul Boilard","2024","nhl_combine_2024","7.42","","","","","","","","",""
"Sam Dickinson","2024","nhl_combine_2024","6.92","78.75","","","","","","","",""
"Sam O'Reilly","2024","nhl_combine_2024","6.95","","4.33","4.25","","","","","",""
"Sebastian Soini","2024","nhl_combine_2024","7.54","","","","","","","","",""
"Stian Solberg","2024","nhl_combine_2024","","","4.12","4.08","","","23.84","","",""
"Terik Parascak","2024","nhl_combine_2024","","","4.28","4.25","","","","","",""
"Tij Iginla","2024","nhl_combine_2024","","","","","","13","","","",""
"Tomas Lavoie","2024","nhl_combine_2024","","80","","","","","","","",""
"Veeti Vaisanen","2024","nhl_combine_2024","","","","","","","24.22","","",""
"Will Skahan","2024","nhl_combine_2024","","79","","","","","23.88","","",""
"Zeev Buium","2024","nhl_combine_2024","","","","","","16","","","",""
"Andrew Gibson","2023","nhl_combine_2023","","","4.26","4.36","","","","","",""
"Anton Wahlberg","2023","nhl_combine_2023","","77.5","","","","","","","",""
"Axel Sandin Pellikka","2023","nhl_combine_2023","8.39","","","","","","","","",""
"Beau Akey","2023","nhl_combine_2023","","","4.26","4.35","","","21.8","116","",""
"Brad Gardiner","2023","nhl_combine_2023","7.04","","4.24","4.35","","13","","","",""
"Bradly Nadeau","2023","nhl_combine_2023","7.06","","","","","14","","","",""
"Brady Cleveland","2023","nhl_combine_2023","","78.25","","4.24","","","","","",""
"Brandon Svoboda","2023","nhl_combine_2023","","78","4.21","4.33","","","","","",""
"Caden Price","2023","nhl_combine_2023","","","","","","","22.83","","",""
"Cameron Allen","2023","nhl_combine_2023","7.09","","","","","14","23.81","117","",""
"Carey Terrance","2023","nhl_combine_2023","","","","","","","22","112","",""
"Carsen Musser","2023","nhl_combine_2023","","79.75","","","","","","","",""
"Charlie Stramel","2023","nhl_combine_2023","7.92","","","","","","22.71","118","",""
"Colby Barlow","2023","nhl_combine_2023","","","","","","","22.96","","",""
"Connor Bedard","2023","nhl_combine_2023","","","","","","14","","","",""
"Danny Nelson","2023","nhl_combine_2023","","","","","","14","","","",""
"David Reinbacher","2023","nhl_combine_2023","","","","","","","","112","",""
"Easton Cowan","2023","nhl_combine_2023","","","4.04","4.09","","","","","",""
"Ethan Gauthier","2023","nhl_combine_2023","","","4.26","","","","","","",""
"Hunter Brzustewicz","2023","nhl_combine_2023","","","","4.36","","","","","",""
"Jaden Lipinski","2023","nhl_combine_2023","","77.75","","","","13","","","",""
"Jakub Stancl","2023","nhl_combine_2023","","78.5","","","","","","","",""
"Jayden Perron","2023","nhl_combine_2023","","","4.22","","","","","","",""
"Jesse Nurmi","2023","nhl_combine_2023","","","","","","","21.99","","",""
"Jonathan Castagna","2023","nhl_combine_2023","7.07","","4.09","4.16","","","","","",""
"Larry Keenan","2023","nhl_combine_2023","","78.5","","","","","","","",""
"Lukas Dragicevic","2023","nhl_combine_2023","7.58","","","","","","","","",""
"Mathieu Cataford","2023","nhl_combine_2023","7.61","","","","","","","","",""
"Matteo Mann","2023","nhl_combine_2023","","80.5","","","","","","","",""
"Maxim Strbak","2023","nhl_combine_2023","","","","","","","","112.8","",""
"Michael Hrabal","2023","nhl_combine_2023","","82.51","","","","","","","",""
"Nate Danielson","2023","nhl_combine_2023","7.03","","","","","13","22.05","111.5","",""
"Nick Lardis","2023","nhl_combine_2023","","","","","","15","25.49","114.5","",""
"Oliver Moore","2023","nhl_combine_2023","","","4.13","","","13","21.7","","",""
"Ryan Leonard","2023","nhl_combine_2023","7.13","","","","","","","","",""
"Samuel Honzek","2023","nhl_combine_2023","","","","4.32","","","","117.5","",""
"Scott Ratzlaff","2023","nhl_combine_2023","","","","4.32","","","","","",""
"Tom Willander","2023","nhl_combine_2023","","","","","","","","116.5","",""
"William Whitelaw","2023","nhl_combine_2023","","","4.24","","","","","","",""
"Zachary Nehring","2023","nhl_combine_2023","","79.5","","","","","","","",""
"Adam Ingram","2022","nhl_combine_2022","","77","","","","","","","",""
"Aleksanteri Kaskimaki","2022","nhl_combine_2022","","","","","","","21.28","","",""
"Alexander Suzdalev","2022","nhl_combine_2022","","77.5","","","","","","","",""
"Brennan Ali","2022","nhl_combine_2022","9.07","","4.42","4.59","","","","","",""
"Cameron Lund","2022","nhl_combine_2022","","","","4.61","","","","","",""
"Christian Kyrou","2022","nhl_combine_2022","7.99","","4.44","4.38","","","","","",""
"Conor Geekie","2022","nhl_combine_2022","","77.75","","","","","","","",""
"Cutter Gauthier","2022","nhl_combine_2022","","","4.46","","","15","19.78","112","",""
"Dylan James","2022","nhl_combine_2022","","","","","","","","112","",""
"Fabian Wagner","2022","nhl_combine_2022","","","","","","","21.29","112","",""
"Filip Bystedt","2022","nhl_combine_2022","","77.75","","","","","","","",""
"Filip Mesar","2022","nhl_combine_2022","9.43","","","","","","","","",""
"Frank Nazar","2022","nhl_combine_2022","","","","","","","21.69","112","",""
"Hunter Haight","2022","nhl_combine_2022","","","","","","16","","","",""
"Isaac Howard","2022","nhl_combine_2022","","","","","","16","","","",""
"Isaiah George","2022","nhl_combine_2022","","","","4.59","","","21.73","115","",""
"Jack Devine","2022","nhl_combine_2022","","","","","","15","","","",""
"Jack Hughes","2022","nhl_combine_2022","8.49","","4.4","4.55","","19","19.94","111.5","",""
"Jack Sparkes","2022","nhl_combine_2022","","80","","","","","","","",""
"Jackson Edward","2022","nhl_combine_2022","8.03","","","","","","","","",""
"Jake Karabela","2022","nhl_combine_2022","8.79","","","4.54","","18","","","",""
"Julian Lutz","2022","nhl_combine_2022","","","4.38","","","17","","","",""
