"id","name","status","skill_level","shot_type","shooting_bucket","tags","release_point","feeds_from","target_type","default_reps","intensity","age_min","age_max","equipment","space","step_by_step","coaching_cues","difficulty","coach_preference","inspired_by","video_url","session_type"
"SHO_001","Forehand Heel-to-Toe Wrist Shot","active","beginner","wrist","wrist_shot","wrist_shot, forehand, mechanics, weight_transfer","mid_range","stickhandling","net","50","low","8","99","Shooting pad & pucks","Shooting lane","Start puck at heel, roll to toe and release","Smooth weight transfer","1","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/16697ed01fbc6c518eb2d845fd10552b/manifest/video.m3u8","shooting"
"SHO_002","Backhand Heel-to-Toe","active","intermediate","backhand","wrist_shot","backhand, wrist_shot, mechanics","mid_range","stickhandling","net","50","low-med","10","99","Shooting pad & pucks","Shooting lane","Roll puck from heel to toe on backhand","Strong top hand","2","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/206c61c7bfef1674d164e18a30a8c794/manifest/video.m3u8","shooting"
"SHO_004","Backhand to Forehand Snap Shot","active","intermediate","snap","snap_shot","backhand_to_forehand, snap_shot, transition","in_tight","stickhandling","net","30","low-med","10","99","Shooting pad & pucks","Shooting lane","Pull puck to forehand and snap","Quick transition","2","1","self","","shooting"
"SHO_005","Close Net Backhand-to-Forehand Under Bar","active","advanced","snap","deception","deception, in_tight, elevate_under_bar","in_tight","stickhandling","net","25","low-med","12","99","Shooting pad & pucks","Close net","Start backhand, pull to forehand and lift under bar","Soft hands, eyes up","3","1","self","","shooting"
"SHO_006","Close Net Forehand-to-Backhand Under Bar","active","advanced","snap","deception","deception, backhand_finish, elevate","in_tight","stickhandling","net","25","low-med","12","99","Shooting pad & pucks","Close net","Start forehand, pull to backhand and lift","Protect puck","3","1","self","","shooting"
"SHO_007","No-Look Forehand Wrist Shot","active","advanced","wrist","deception","no_look, wrist_shot, deception","mid_range","stickhandling","net","30","low-med","12","99","Shooting pad & pucks","Shooting lane","Shoot without looking at net","Head up release","3","1","self","","shooting"
"SHO_008","Toe Drag Around Obstacle Shot","active","advanced","wrist","obstacle_based","toe_drag, obstacle, deception","mid_range","stickhandling","net","30","low-med","12","99","Shooting pad, pucks, stick obstacle","Shooting lane","Toe drag around obstacle and shoot","Sell the fake","4","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/a516287400c79b3bf7abd38e54b74449/manifest/video.m3u8","shooting"
"SHO_009","Toe Drag Wrist Shot","active","intermediate","wrist","wrist_shot","toe_drag, angle_change, wrist_shot","mid_range","stickhandling","net","30","low-med","10","99","Shooting pad & pucks","Shooting lane","Toe drag then release","Change angle","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/c5295320a977c2b0b152603e7e490c50/manifest/video.m3u8","shooting"
"SHO_010","Push Away Change Angle Shot","active","intermediate","wrist","angle_change","angle_change, wrist_shot, space_creation","mid_range","stickhandling","net","30","low-med","10","99","Shooting pad & pucks","Shooting lane","Push puck away from body and shoot","Create space","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/b99afdf65bbf4a2406a18d397850dbdc/manifest/video.m3u8","shooting"
"SHO_011","Tight Toe Drag In-Feet Release","active","advanced","wrist","uncomfortable_release","toe_drag, in_feet, uncomfortable_release","in_tight","stickhandling","net","30","low-med","12","99","Shooting pad & pucks","Shooting lane","Toe drag tight into feet and shoot","Quick hands","4","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/42031e104043514cd79589b8bf1ebf1c/manifest/video.m3u8","shooting"
