"id","name","status","skill_level","stickhandling_bucket","tags","puck_location","hand_speed","feeds_into","default_duration_sec","intensity","age_min","age_max","equipment","space","step_by_step","coaching_cues","difficulty","coach_preference","inspired_by","video_url","session_type"
"SH_001","Forehand-Backhand","active","beginner","stationary_control","in_tight, controlled_hands, forehand_backhand, puck_control","in_tight","controlled","shooting","45","low","6","99","Stick & puck","4x4 ft","Move puck forehand to backhand in front of body","Soft hands, relaxed grip, head up","1","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/c550c8a0bb5554ff35d5c828dc261de6/manifest/video.m3u8","movement"
"SH_002","Wide Reach Stickhandling","active","beginner","wide_reach","wide_reach, puck_control, extension","extended","controlled","puck_protection","45","low","6","99","Stick & puck","4x4 ft","Reach puck wide forehand and backhand","Extend arms, control puck, head up","1","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/1de2cee1e3020886efeeedbefa976fcc/manifest/video.m3u8","movement"
"SH_003","Figure 8 Around Feet","active","beginner","stationary_control","in_tight, forehand_backhand, coordination","in_tight","controlled","shooting","60","low","6","99","Stick & puck","4x4 ft","Move puck in figure 8 around feet","Head up if possible","1","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/2a74d2081372e07e4b9cfb64807d1204/manifest/video.m3u8","movement"
"SH_004","Single-Leg Stickhandling","active","intermediate","stationary_control","balance, in_tight, puck_control","in_tight","controlled","puck_protection","45","low-med","8","99","Stick & puck","4x4 ft","Stickhandle while balancing on one leg","Stable posture, head up","2","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/85d88cbcb5c9a8962343370919f67c85/manifest/video.m3u8","movement"
"SH_006","Backhand Only Stickhandling","active","beginner","stationary_control","backhand_emphasis, in_tight, puck_control","in_tight","controlled","shooting","45","low","6","99","Stick & puck","4x4 ft","Stickhandle on backhand side of body","Comfort on backhand, head up","2","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/fcc4b606f39f99fe9a4c6d8fb270ceb4/manifest/video.m3u8","movement"
"SH_008","Triangle Counter Clockwise","active","intermediate","quick_hands","quick_hands, in_tight, coordination","in_tight","fast","shooting","45","low-med","8","99","Stick & puck, 3 extra pucks","4x4 ft","Move puck in triangle pattern","Quick but controlled","2","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/9b7c3664ecdc87e15d44d2aeb2007c4f/manifest/video.m3u8","movement"
"SH_070","Triangle Clockwise","active","intermediate","quick_hands","quick_hands, in_tight, coordination","in_tight","fast","shooting","45","low-med","8","99","Stick & puck, 3 extra pucks","4x4 ft","Move puck in triangle pattern","Quick but controlled","2","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/0c1de3363099512a6f8a21057a730ef0/manifest/video.m3u8","movement"
"SH_010","Pull-Push Shuffle","active","intermediate","movement_based","pull_push, lateral, skating_transfer","mid_range","controlled","skating","60","low-med","8","99","Stick & puck","6x6 ft","Shuffle laterally while pull-pushing puck","Feet and hands together","2","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/6515f7ae53e2eed4c462436b4437434f/manifest/video.m3u8","movement"
"SH_011","Side-to-Side Reach","active","intermediate","wide_reach","wide_reach, lateral, puck_control","extended","controlled","puck_protection","45","low-med","8","99","Stick & puck","4x4 ft","Reach puck side to side at full width","Stay balanced","3","2","self","","movement"
"SH_012","Quick Hands Narrow","active","intermediate","quick_hands","quick_hands, in_tight, hand_speed","in_tight","fast","shooting","30","low-med","8","99","Stick & puck","4x4 ft","Rapid small touches in front of body","Relax wrists","3","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/9fdcd431cbcf47fea2026877add52f20/manifest/video.m3u8","movement"
"SH_013","Pull-Behind Feet","active","intermediate","pull_push","deception, pull_push, behind_body","in_tight","controlled","puck_protection","60","low-med","10","99","Stick & puck","4x4 ft","Pull puck behind feet side to side","Control behind body","3","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/c48e698b9eef93fd46cf9fd58bf2b9d9/manifest/video.m3u8","movement"
"SH_014","Toe Drags","active","intermediate","toe_drags","toe_drags, deception, puck_control","in_tight","controlled","shooting","45","low-med","10","99","Stick & puck","4x4 ft","Repeated toe drags side to side","Sell the fake","2","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/bc5c6667899ad55ef61828a55857c3c2/manifest/video.m3u8","movement"
"SH_017","Reaction Call Stickhandle","inactive","intermediate","reaction","reaction, decision_making, puck_control","in_tight","fast","decision_making","45","low-med","8","99","Stick & puck","4x4 ft","Change direction on verbal cue","React not rush","3","2","self","","movement"
"SH_018","Lateral Shuffle Stickhandle","active","advanced","movement_based","lateral, skating_transfer, coordination","mid_range","controlled","skating","60","low-med","10","99","Stick & puck","10 ft lane","Lateral shuffle while stickhandling","Stay low","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/8d2eb7ed076159c30f33727a34de05e4/manifest/video.m3u8","movement"
"SH_019","Push Pull Combo","active","advanced","toe_drags","toe_drags, pull_push, deception","in_tight","controlled","shooting","60","low-med","10","99","Stick & puck","4x4 ft","Toe drag then pull-push across body","Smooth combo","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/5eb5f7aa87d41fcffad0771411c2dc4f/manifest/video.m3u8","movement"
"SH_020","Quick Hands Wide Narrow","active","advanced","quick_hands","quick_hands, change_of_width, deception","in_tight","fast","shooting","45","low-med","10","99","Stick & puck","4x4 ft","Alternate wide and narrow touches","Change pace","3","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/9fdcd431cbcf47fea2026877add52f20/manifest/video.m3u8","movement"
"SH_022","Lateral Crossover Stickhandling","active","advanced","movement_based","lateral, crossover, skating_transfer","mid_range","controlled","skating","60","low-med","10","99","Stick & puck","10 ft lane","Crossover steps while stickhandling","Feet lead hands","2","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/a709b9e505e2d7d849431d80850ae539/manifest/video.m3u8","movement"
"SH_024","Stickhandle Two Objects","active","advanced","reaction","dual_object, coordination, puck_control","in_tight","fast","decision_making","45","low-med","12","99","Stick & ball","4x4 ft","Stick handle two balls/pucks and control each independently","Soft hands","3","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/5b0a4b4055f5403a0c89128f03ee4c9e/manifest/video.m3u8","movement"
"SH_025","Toe Drag to Wide Push","active","advanced","toe_drags","toe_drags, wide_reach, deception","extended","explosive","shooting","45","low-med","12","99","Stick & puck","4x4 ft","Toe drag then push puck wide explosively","Sell deception","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/f78a1d2c84c8a9c4b2f69470c77f2086/manifest/video.m3u8","movement"
"SH_026","Figure 8 Stickhandling","active","advanced","stationary_control","in_tight, forehand_backhand, coordination","in_tight","fast","shooting","60","low-med","10","99","Stick & puck","4x4 ft","Continuous figure 8 at higher speed","Control speed","3","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/d89ae31a7be5051b004cfbfcd87efa97/manifest/video.m3u8","movement"
"SH_028","Forward-Backward Walk Handle","active","advanced","movement_based","in_stride, coordination, skating_transfer","mid_range","controlled","skating","60","low-med","10","99","Stick & puck","10 ft lane","Walk forward then backward while handling","Smooth transitions","3","2","self","","movement"
"SH_029","Wide Reach Toe Drags","active","advanced","toe_drags","wide_reach, toe_drags, puck_control","extended","controlled","puck_protection","60","low-med","12","99","Stick & puck","4x4 ft","Wide reach toe drags side to side","Max reach control","3","2","self","","movement"
"SH_031","Around the World","active","intermediate","stationary_control","full_body, in_tight, coordination","in_tight","controlled","shooting","60","low-med","8","99","Stick & puck","4x4 ft","Move puck around entire body starting forehand and returning to forehand","Smooth transitions around body","3","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/672ed9d95481d8a444ad956768d6667a/manifest/video.m3u8","movement"
"SH_032","Backhand Toe Drag Puck Protection","active","advanced","toe_drags","backhand_emphasis, toe_drags, deception","in_tight","controlled","shooting","45","low-med","10","99","Stick & puck","4x4 ft","Perform repeated backhand toe drags maintaining control","Strong backhand blade control","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/44887cc8e156566eaf2df74f31e2f8f8/manifest/video.m3u8","movement"
"SH_034","Pull Through Legs Kick to Backhand","active","advanced","pull_push","through_legs, deception, backhand_finish","in_tight","controlled","shooting","45","low-med","10","99","Stick & puck","4x4 ft","Pull puck through legs and kick it out to backhand","Quick feet, soft hands","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/f67450a9a1e014e50ebf653337e6817c/manifest/video.m3u8","movement"
"SH_035","Alternating Pull Through Legs","active","advanced","pull_push","through_legs, deception, backhand_finish","in_tight","controlled","shooting","45","low-med","10","99","Stick & puck","4x4 ft","Pull puck through legs and kick it out to backhand","Quick feet, soft hands","3","1","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/43609357ade0c00a26c8023a87fe4341/manifest/video.m3u8","movement"
"SH_036","Pull Through Legs Straight to Backhand","active","advanced","pull_push","through_legs, backhand_finish, puck_control","in_tight","controlled","shooting","45","low-med","10","99","Stick & puck","4x4 ft","Pull puck through legs directly to backhand","Backhand control","3","2","self","https://customer-ha12kk6wrp2s6ej4.cloudflarestream.com/247142b556317203951e9bf549317d33/manifest/video.m3u8","movement"
